k,c,w1,w2,w3,m
一昨昨日,さきおととい,いっさくさくじつ,さくさくじつ,ひとおととい,おとといの前の日のこと。
一段,いちだん,ひとだん,いちだんん,ひとだんん,他と比べて程度が格段に違うこと。
一蹴,いっしゅう,いちしゅう,いっそく,いちそく,あっさりと断ったり、簡単に打ち負かしたりすること。
意気消沈,いきしょうちん,いきしょうしん,いきけしたか,いきしょうてん,元気がなくなって沈み込むこと。
一筋縄,ひとすじなわ,いちすじなわ,いちじょうなわ,ひとすじじょう,普通の手段。多くは「?ではいかない」と否定を伴う。
引導,いんどう,ひきみち,いんとう,ひきどう,あきらめるように最終的な宣告をすること。
隠蔽,いんぺい,おんぺい,かくぺい,いんへい,都合の悪いことを隠し覆うこと。
有頂天,うちょうてん,ありちょうてん,ういただきてん,うぢょうてん,大喜びして我を忘れること。
会釈,えしゃく,かいしゃく,あいしゃく,えしゃくく,軽く頭を下げて挨拶すること。
回帰,かいき,えき,かいきき,えきき,ひとまわりして元の状態に戻ること。
壊滅,かいめつ,えめつ,こわれめつ,かいめつつ,組織や街などがすっかり破壊されてなくなること。
確執,かくしつ,かくしゅう,たしかつ,かくしつづ,互いに自分の意見を譲らないことから生じる不和。
寡黙,かもく,すくもく,ひくもく,かもくく,言葉数が少なく、静かなこと。
間隙,かんげき,まげき,かんげきき,まげきき,物と物とのすき間、または不和のきっかけ。
含蓄,がんちく,ふくちく,がんちゅう,ふくちゅう,言葉などのなかに深い意味が込められていること。
奇禍,きか,くか,きわざ,くわざ,思いがけない災難のこと。
忌憚,きたん,いたん,きだん,いだん,いみはばかること。多くは「?のない意見」と否定を伴う。
玉石混交,ぎょくせきこんこう,たまいしこんこう,ぎょくせきこんごう,たまいしこんごう,優れたものと劣ったものが混ざっていること。
業腹,ごうはら,ぎょうはら,わざはら,ごうぶく,非常に腹が立つこと。
金字塔,きんじとう,かねじとう,きんじどう,かねじどう,後世に永く残るような偉大な業績。
形骸化,けいがいか,かたちがいか,けいからだか,けいけいか,形だけで中身や意味がなくなってしまうこと。
薫陶,くんとう,かおりとう,くんどう,かおりどう,優れた人格で人を教育し育てること。
景気,けいき,かげき,けいきき,けいきぎ,経済活動の活気の連動、または様子。
劇薬,げきやく,げきぐすり,げきらくだ,げきやくく,作用が激しく、使い方を誤ると危険な医薬品。
固執,こしつ,こしゅう,かたしつ,こしゅうう,自分の意見を頑なに譲らないこと。「こしゅう」も本来は正解。
互選,ごせん,たがいせん,ごえらび,たがいえらび,特定のメンバーの中でお互いに投票して選ぶこと。
誇張,こちょう,ほちょう,こちょうう,ほちょうう,大げさに表現すること。
姑息,こそく,まごそく,こそくく,古い息,根本的な解決をせず、その場しのぎをすること。
古今東西,ここんとうざい,ふるいまことうざい,ここんひがしにし,ふるいまこひがしにし,昔から今まで、そしてあらゆる場所で。
御利益,ごりやく,ごりえき,おんりえき,おりえき,神仏から授かる恵みのこと。
行住坐臥,ぎょうじゅうざが,こうじゅうざが,ぎょうじゅうすわるふす,あんじゅうざが,歩く、とどまる、座る、寝るという日常の振る舞い。
彩る,いろどる,さいる,いろどるす,さいるす,美しく飾ったり、色をつけたりすること。
刷新,さっしん,あらっしん,さつしん,あたらしん,悪い状態を改めて、まったく新しくすること。
山積,さんせき,やまづみ,さんじゃく,やまづみみ,問題や仕事が山のようにたまっていること。
暫定,ざんてい,しばらくてい,ざんじょう,しばらくじょう,正式に決まるまで、一時的に取り決めること。
質実剛健,しつじつごうけん,しちじつごうけん,ただじつごうけん,しつじつつよたけ,飾り気がなく真面目で、心身ともにたくましいこと。
示唆,しさ,じさ,しけい,じけい,それとなくヒントを与えて教えること。
私利私欲,しりしよく,わたくしりわたくしよう,しりしよくく,わたくしりわたくしよく,自分の利益や欲望だけを追求すること。
嗜好,しこう,たしなみこう,しこうう,たしなみこうう,好んで親しむこと。
遮る,さえぎる,しゃる,さえぎるす,しゃるす,進行や視界を途中で邪魔して止めること。
杓子定規,しゃくしじょうぎ,ひしゃくしじょうぎ,しゃくしていき,ひしゃくしていき,決まりきった基準にこだわり、融通がきかないこと。
宿痾,しゅくあ,やどあ,しゅくお,やどお,長年治らないでいる重い病気。
従容,しょうよう,じゅうよう,したがいよう,じゅうようう,ゆったりと落ち着いていて慌てない様子。
諸刃の剣,もろはのつるぎ,しょはのつるぎ,もろはのけん,しょはのけん,一方では役に立つが、他方では大損害を被る危険があるもの。
深謝,しんしゃ,ふかしゃ,しんしゃしゃ,ふかしゃしゃ,深く感謝すること、または深く謝罪すること。
数奇,すうき,すうきき,かずき,かずきき,運命のめぐり合わせが波乱万丈であること。
寸暇,すんか,すんひま,ちょっとひま,すんかか,ほんのわずかな空き時間。
正味,しょうみ,せいみ,ただみ,まさみ,外袋などを除いた、中身だけの実際の量や価値。
赤裸々,せきらら,あからら,あか裸々,せきはだか,包み隠さず、すべてをありのままにすること。
脆弱性,ぜいじゃくせい,きしゃくせい,よわじゃくせい,ぜいじゃくしょう,コンピュータ等の安全上の欠陥、またはもろさ。
先見の明,せんけんのめい,さきみのめい,せんけんのあきら,さきみのあきら,将来何が起こるかをあらかじめ見抜く知恵。
漸次,ぜんじ,ざんじ,ようやくじ,ざんじじ,だんだんと、次第に。※「暫時（しばらくの間）」と混同注意。
全幅,ぜんぷく,ぜんはば,ぜんぱく,まったくはば,あらゆる限りの、すべての。「全幅の信頼」などと使う。
相殺,そうさい,そうさつ,あいさつ,あいさい,互いの貸し借りを差し引いて帳消しにすること。
造詣,ぞうけい,ぞうし,つくりけい,つくりし,その分野の学問や技術に深い知識と理解があること。
即席,そくせき,すぐせき,そくばしょ,すぐばしょ,その場ですぐに用意すること。
対峙,たいじ,たいじじ,むかいじ,むかいじじ,向かい合ってそびえ立つこと、または対抗して睨み合うこと。
他山の石,たざんのいし,たやまのいし,たざんのいわ,たやまのいわ,他人の誤った言動を見て、自分の戒めとすること。
耽溺,たんでき,たんじゅん,ふけでおぼれる,たんできき,ひとつのことに夢中になって溺れること。
彫琢,ちょうたく,ほりたく,ちょうず,ほりず,詩や文章を美しく練り上げること。
長大,ちょうだい,ながおお,ちょうたい,ながたい,非常に長くて大きいこと。
直向き,ひたむき,ちょくむき,なおむき,ひたむきき,一つのことに一生懸命に向かう様子。
陳腐,ちんぷ,ちんくさ,ふるぷ,ふるくさ,古くさくて、ありふれていてつまらないこと。
丁重,ていちょう,ひのとじゅう,ていじゅう,ひのとちょう,礼儀正しく、手厚いこと。
適宜,てきぎ,てきよろしく,てきぎぎ,てきよろし,各自の判断でその場にぴったり合うように行うこと。
天賦,てんぷ,てんもち,てんぶ,てんぶぶ,生まれつき備わっている才能など。
度外視,どがいし,たびがいし,どそとし,たびそとし,全く問題にしないこと。
唐突,とうとつ,からとつ,とうつき,からつき,前触れもなく急で、不意であること。
等閑,とうかん,とうかんん,ひとしひま,などか,物事をいい加減に扱うこと。「なおざり」とも読む。
淘汰,とうた,たいた,あらいた,たいだ,良いものを残し、不要なものを排除すること。
答弁,とうべん,こたえべん,とうべつ,こたえべつ,質問に対して返答や説明をすること。
頭角,とうかく,あたまつの,ずかく,あたまかく,才能や実力が周囲よりも抜きん出ること。
読破,どくは,よみやぶり,どくぱ,よみは,本を最後まですべて読み切ること。
内省,ないせい,ないしょう,うちかえりみ,うちせい,自分の考えや行動を深く反省すること。
難詰,なんきつ,むずきつ,なんづめ,むずづめ,欠点を厳しくなじること。
日常生活,にちじょうせいかつ,ひびじょうせいかつ,にちじょういき,ひびじょういき,普段の毎日の暮らし。
粘着,ねんちゃく,ねばちゃく,ねんちゅう,ねばちゅう,ぴったりとくっついて離れないこと。
能弁,のうべん,のうべつ,あたべん,あたべつ,言葉巧みに、しゃべるのが上手なこと。
把握,はおく,はつかみ,はあく,わがて,内容をしっかりと理解し、自分のものにすること。
博識,はくしき,ひろしき,ばくしき,はっしき,幅広い知識をたくさん持っていること。
破天荒,はてんこう,やぶてんこう,はてんあら,やぶてんあら,前人未到の偉業を成し遂げること。※豪快という意味は誤り。
波及,はきゅう,なみきゅう,はきう,なみきう,影響がだんだんと周囲に広がっていくこと。
破格,はかく,やぶかく,はかくく,やぶかくく,一般的・標準的な基準を大きく外れて格別なこと。
抜群,ばつぐん,ぬきぐん,ばっぐん,ぬきむら,周囲と比べて特に優れていること。
繁茂,はんも,しげも,はんもお,しげもお,草木が盛んに生い茂ること。
反故,ほんご,はんこ,はんこお,ほんこ,書き損じた紙、または約束を無効にすること。「ほご」とも。
万事,ばんじ,まんじ,よろずじ,よろずこと,すべてのこと。
美辞麗句,びじれいく,びじうるわしく,びことれいく,うつくしことばれいく,うわべだけを美しく飾った、中身のない言葉。
批難,ひなん,うつなん,ひなんん,うつなんん,人の過ちや欠点を責めること。通常は「批判」「非難」を使う。
氷山の一角,ひょうざんのいっかく,こおりやまのいっかく,ひょうざんのひとつのつの,こおりやまのひとつのつの,現れている事象が、全体のほんの一部にすぎないこと。
普及啓発,ふきゅうけいはつ,ふきゅうひらきはつ,ふきうけいはつ,ふきうひらきはつ,広く行き渡らせ、理解を深めさせること。
布石,ふせき,ぬのいし,ふいし,ぬのせき,将来のためにあらかじめ打っておく手回し。
普遍的,ふへんてき,ふべんてき,あまねてき,ふへんてきき,すべてのものに共通して当てはまる様子。
不憫,ふびん,ふびんん,かわいそう,ぶびん,哀れでかわいそうな様子。
平穏,へいおん,たいらおん,へいおんん,たいらおんん,変わったことがなく、穏やかなこと。
変貌,へんぼう,へんかお,へんぼうう,へんかおう,姿や様子がすっかり変わること。
放埓,ほうらつ,ほうらつつ,はなちらつ,ほうらつち,勝気で気まま、だらしないこと。
勃発,ぼっぱつ,おこりはつ,ぼつはつ,おこりぱつ,事件などが急に起きること。
凡例,はんれい,ぼんれい,なみれい,ぼんれいいた,本の巻頭などにある、見方や使い方の決まり。
