k,c,w1,w2,w3,m
一炊の夢,いっすいのゆめ,いっしゃくのゆめ,いっすいのむ,ひとたきのゆめ,人生の栄華は儚いということ。
一瞥,いちべつ,いちげつ,いっかい,いちえつ,ちらっと見ること。
一段落,いちだんらく,ひとだんらく,いちだんがえ,ひとだんろく,物事が一区切りつくこと。「ひとだんらく」は慣用読み。
一堂,いちどう,ひとどう,いっちょう,いっどうう,一つの建物や同じ場所に集まること。
右往左往,うおうさおう,うゆうさゆう,みぎおうひだりおう,うおうさゆう,混乱してあちこち動き回ること。
閏年,うるうどし,じゅんねん,かんねん,うるうねん,2月が29日ある年のこと。
会得,えとく,かいとく,あいとく,えどく,物事を理解して自分のものにすること。
回向,えこう,かいこう,えむけ,かいむけ,死者の成仏を願って仏事を行うこと。
回廊,かいろう,えろう,かいかく,まわりろう,建物の周りを取り囲む屋根付きの廊下。
画策,かくさく,がさく,かくさつ,がさつ,ひそかに計画を立てること。
拡散,かくさん,がっさん,ひろさん,かくざん,広がり散らばること。
楽観,らっかん,がっかん,らくかん,らくがん,物事を良い方に考えること。
割愛,かつあい,わりあい,かつめい,わりあいす,惜しいと思いながらも省略すること。
間髪を入れず,かんはつをいれず,かんぱつをいれず,まかみをいれず,かんぱつをいれて,間に髪の毛1本も挟めないほど即座に。
危急,ききゅう,あぶきゅう,ききゅうう,ききょ,危険が差し迫っていること。
奇才,きさい,くさい,きざい,きさつ,卓越した才能のこと。
希求,ききゅう,まれきゅう,きく,けきゅう,強く願い求めること。
詰問,きつもん,つめもん,けつもん,きつもんん,厳しく問い詰めること。
客体,きゃくたい,かくたい,きゃくたいあい,かくたいあい,主観の認識の対象となるもの。
客分,かくぶん,きゃくぶん,きゃくわけ,かくわけ,組織の外から客として迎える立場。
逆転,ぎゃくてん,さかてん,ぎゃくでん,さかてんん,事の形勢が反対になること。
久遠,くおん,きゅうえん,ひさとお,くえん,永遠のこと。
供奉,ぐぶ,きょうほう,ともほう,くほう,行幸などに供として付き従うこと。
苦言,くげん,にがこと,くごん,にがげん,相手のためを思っていさめる言葉。
具眼,ぐがん,つぶがん,ぐげん,ともがん,物事の真価を見抜く確かな眼力があること。
建立,こんりゅう,けんりつ,こんりつ,けんりゅう,寺院や堂塔を建てること。
古文書,こもんじょ,こぶんしょ,ふるもんじょ,こもんしょ,古い時代の公文書や記録。
借用,しゃくよう,かりよう,しゃくもち,かりもち,物を借りること。
主客,しゅかく,しゅきゃく,おもきゃく,しゅかくう,主人と客、または主なものと従属するもの。
遵守,じゅんしゅ,そんしゅ,じゅんまもり,そんまもり,法律や規則に従い、それを守ること。
成就,じょうじゅ,せいじゅ,じょうしゅう,せいしゅう,願いや望みが叶うこと。
新進気鋭,しんしんきえい,しんしんきぜつ,あたらしんきえい,しんしんけいえい,ある分野に新しく登場し、勢いが盛んなこと。
親見,しんけん,おやみ,しんみ,おやけん,自分の目で実際に確かめること。
進捗,しんちょく,しんぽ,しんてき,しんあゆみ,物事が捗ること。「しんぽ」は別の漢字。
吹聴,ふいちょう,すいちょう,ふききく,すいきく,言いふらすこと。
推敲,すいこう,おしこう,すいこうう,おしたたき,文章を何度も練り直すこと。
正気,しょうき,せいき,ただき,まさき,確かな意識。
正確,せいかく,しょうかく,まさかく,せいかくう,間違いがないこと。
折半,せっぱん,おらはん,せつはん,おりはん,二等分にすること。
